NPCIndex,NPCNamePTBR,NPCLevel,RewardIndex,SubGroupIndex,RewardItemIndex,RewardItemNamePTBR,MinValue,EnchantLevel,Multiplicity,MultiplicityShareCandidate,ChanceConfirmed
305901,Guarda de Fronteira Beltran,10,1000000,1000020010,900,EXP,10,0,1,0.2,False
305901,Guarda de Fronteira Beltran,10,1000000,1000010010,1,Crédito,19,0,1,0.2,False
305901,Guarda de Fronteira Beltran,10,1000000,4000040000,5200,Kit de Upgrade de Arma,1,0,1,0.2,False
305901,Guarda de Fronteira Beltran,10,1000000,4000040000,5204,Kit de Upgrade de Arma,1,0,1,0.2,False
305901,Guarda de Fronteira Beltran,10,1000000,4000040000,5201,Kit de Upgrade de Armadura,1,0,1,0.2,False
305901,Guarda de Fronteira Beltran,10,1000000,4000040000,5205,Kit de Upgrade de Armadura,1,0,1,0.2,False
305901,Guarda de Fronteira Beltran,10,1000000,4000040000,5202,Kit de Upgrade de Acessório,1,0,1,0.2,False
305901,Guarda de Fronteira Beltran,10,1000000,4000040000,5206,Kit de Upgrade de Acessório,1,0,1,0.2,False
305901,Guarda de Fronteira Beltran,10,1000000,4010470000,270000,Placa de Metal Fragmentada,1,0,1,0.2,False
305901,Guarda de Fronteira Beltran,10,1000000,4010470000,270001,Abrasivo Inferior,1,0,1,0.2,False
305901,Guarda de Fronteira Beltran,10,1000000,4010470000,270003,Filamento Inferior,1,0,1,0.2,False
305901,Guarda de Fronteira Beltran,10,1000000,4010470000,270002,Feixe de Fibra Inferior,1,0,1,0.2,False
305901,Guarda de Fronteira Beltran,10,1000000,4010470000,275000,Placa de Metal Fragmentada,1,0,1,0.2,False
305901,Guarda de Fronteira Beltran,10,1000000,4010470000,275001,Abrasivo Inferior,1,0,1,0.2,False
305901,Guarda de Fronteira Beltran,10,1000000,4010470000,275003,Filamento Inferior,1,0,1,0.2,False
305901,Guarda de Fronteira Beltran,10,1000000,4010470000,275002,Feixe de Fibra Inferior,1,0,1,0.2,False
305901,Guarda de Fronteira Beltran,10,1000000,4010590001,1000000,Rifle do Praticante,1,0,1,0.2,False
305902,Combatente Mecânico Beltran,10,1000001,1000020010,900,EXP,10,0,1,0.2,False
305902,Combatente Mecânico Beltran,10,1000001,1000010010,1,Crédito,19,0,1,0.2,False
305902,Combatente Mecânico Beltran,10,1000001,4000040000,5200,Kit de Upgrade de Arma,1,0,1,0.2,False
305902,Combatente Mecânico Beltran,10,1000001,4000040000,5204,Kit de Upgrade de Arma,1,0,1,0.2,False
305902,Combatente Mecânico Beltran,10,1000001,4000040000,5201,Kit de Upgrade de Armadura,1,0,1,0.2,False
305902,Combatente Mecânico Beltran,10,1000001,4000040000,5205,Kit de Upgrade de Armadura,1,0,1,0.2,False
305902,Combatente Mecânico Beltran,10,1000001,4000040000,5202,Kit de Upgrade de Acessório,1,0,1,0.2,False
305902,Combatente Mecânico Beltran,10,1000001,4000040000,5206,Kit de Upgrade de Acessório,1,0,1,0.2,False
